time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-11-10T17:32:38.520Z,33.4696667,-116.4633333,7.33,1.42,ml,52,59,0.06214,0.22,ci,ci37809271,2017-11-10T17:43:04.200Z,"22km ESE of Anza, CA",earthquake,0.24,0.65,0.13,25,automatic,ci,ci
2017-11-10T17:16:56.240Z,33.5106667,-116.4598333,7.74,0.69,ml,17,100,0.03122,0.19,ci,ci37809263,2017-11-10T17:20:40.819Z,"20km ESE of Anza, CA",earthquake,0.36,0.8,0.142,15,automatic,ci,ci
2017-11-10T17:05:52.220Z,38.8028336,-122.7681656,0.47,0.96,md,9,108,0.02181,0.03,nc,nc72922281,2017-11-10T17:37:02.880Z,"3km NNW of The Geysers, California",earthquake,0.35,1.67,0.17,4,automatic,nc,nc
2017-11-10T16:46:24.060Z,38.791832,-122.7516632,-0.36,1.79,md,16,84,0.02378,0.03,nc,nc72922276,2017-11-10T17:26:02.859Z,"1km NNE of The Geysers, California",earthquake,0.14,0.63,0.05,7,automatic,nc,nc
