time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-12T14:37:26.792Z,59.0258,-136.9532,5.1,2.1,ml,,,,0.77,ak,ak19232630,2018-04-12T14:43:18.232Z,"89km WSW of Haines, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-04-12T14:02:24.271Z,63.0848,-151.4814,3.8,1.3,ml,,,,0.51,ak,ak19232624,2018-04-12T14:15:10.704Z,"110km NW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-04-12T13:50:47.240Z,19.1704998,-155.4048309,7.71,2.74,ml,11,229,0.118,0.23,hv,hv70078426,2018-04-12T13:56:34.380Z,"8km ESE of Pahala, Hawaii",earthquake,2.36,4.28,0.26,3,automatic,hv,hv
2018-04-12T13:49:44.543Z,63.0985,-151.4046,6.6,2.1,ml,,,,0.61,ak,ak19232590,2018-04-12T14:00:41.409Z,"108km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-04-12T13:46:18.106Z,61.5552,-146.4747,40.7,1.4,ml,,,,0.58,ak,ak19232587,2018-04-12T16:55:23.430Z,"47km N of Valdez, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2018-04-12T13:37:39.420Z,38.3358,142.002,60.16,4.8,mb,,139,1.063,1.29,us,us2000dyw3,2018-04-12T15:44:50.463Z,"61km E of Ishinomaki, Japan",earthquake,6.4,6.4,0.043,167,reviewed,us,us
2018-04-12T13:32:17.390Z,38.8221664,-122.8125,1.49,0.74,md,13,76,0.002257,0.04,nc,nc72998706,2018-04-12T14:02:02.487Z,"7km NW of The Geysers, CA",earthquake,0.3,0.61,0.17,2,automatic,nc,nc
2018-04-12T12:54:17.540Z,36.4679,-115.2074,4.1,0.8,ml,12,117.48,0.055,0.1246,nn,nn00630149,2018-04-12T17:02:39.762Z,"28km NNW of Nellis Air Force Base, Nevada",earthquake,,4.5,0.4,8,reviewed,nn,nn
2018-04-12T12:42:42.560Z,19.2033329,-155.4266663,31.75,2.01,md,33,143,0.04376,0.17,hv,hv70078401,2018-04-12T12:45:58.960Z,"5km E of Pahala, Hawaii",earthquake,0.71,1.16,0.12,3,automatic,hv,hv
2018-04-12T12:42:30.420Z,34.0351667,-116.4433333,7.84,2.13,ml,81,23,0.05591,0.15,ci,ci38147968,2018-04-12T19:38:02.120Z,"9km S of Yucca Valley, CA",earthquake,0.12,0.42,0.131,24,reviewed,ci,ci
2018-04-12T12:19:47.330Z,18.555,-66.7541,15,2.47,md,4,308,0.2084,0.24,pr,pr2018102005,2018-04-12T18:52:47.457Z,"8km NNE of Carrizales, Puerto Rico",earthquake,2.08,2.04,0.04,4,reviewed,pr,pr
2018-04-12T12:15:59.520Z,19.3994999,-155.2811737,8.55,1.94,md,32,36,0.008211,0.15,hv,hv70078356,2018-04-12T12:19:18.740Z,"5km SW of Volcano, Hawaii",earthquake,0.52,0.43,0.28,17,automatic,hv,hv
